ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,rent_cpi_index,rent_cpi_index_lower,rent_cpi_index_upper,unemployment_rate,unemployment_rate_lower,unemployment_rate_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-12-31,12033434.864604905,326213203.86315495,327851620.3281322,12033434.864604905,12033434.864604905,315022223.56139314,315022223.56139314,315022223.56139314,-383155.44030654005,-383155.44030654005,-383155.44030654005,1502291.640642801,1502291.640642801,1502291.640642801,-1885447.0809493412,-1885447.0809493412,-1885447.0809493412,315405379.0016997,315405379.0016997,315405379.0016997,0.0,0.0,0.0,327055658.42599803
2021-12-31,12869721.385421587,329961006.15725434,331497675.07439154,12869721.385421587,12869721.385421587,317876423.66347474,317876423.66347474,317876423.66347474,2466369.0451281243,2466369.0451281243,2466369.0451281243,2105936.0043094237,2105936.0043094237,2105936.0043094237,360433.0408187005,360433.0408187005,360433.0408187005,315410054.61834663,315410054.61834663,315410054.61834663,0.0,0.0,0.0,330746145.0488963
2022-12-31,13706007.911246445,333176310.208906,334798493.1375224,13706007.911246445,13706007.911246445,320304649.6175618,320304649.6175618,320304649.6175618,5250392.924227995,5250392.924227995,5250392.924227995,3483724.9135484532,3483724.9135484532,3483724.9135484532,1766668.0106795412,1766668.0106795412,1766668.0106795412,315054256.6933338,315054256.6933338,315054256.6933338,0.0,0.0,0.0,334010657.52880824
2023-12-31,14542294.437071303,335271206.85966796,336846258.72876525,14542294.437071303,14542294.437071303,321510918.1740399,321510918.1740399,321510918.1740399,7154236.502186524,7154236.502186524,7154236.502186524,5380742.108158144,5380742.108158144,5380742.108158144,1773494.3940283803,1773494.3940283803,1773494.3940283803,314356681.6718534,314356681.6718534,314356681.6718534,0.0,0.0,0.0,336053212.6111112
2024-12-31,15380872.158857325,338272792.7747188,339822735.7346279,15380872.158857325,15380872.158857325,323726663.08759034,323726663.08759034,323726663.08759034,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315405379.00176203,315405379.00176203,315405379.00176203,0.0,0.0,0.0,339107535.2464477
2025-12-31,16217158.684682181,339191740.88621634,340749339.9431881,16189128.7911521,16243128.779704021,323731338.704128,323731338.704128,323731338.704128,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315410054.6182997,315410054.6182997,315410054.6182997,0.0,0.0,0.0,339948497.3888102
2026-12-31,17053445.21050704,339563726.2386276,341225908.54568577,16954016.52953775,17138365.36485696,323375540.77927005,323375540.77927005,323375540.77927005,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315054256.69344175,315054256.69344175,315054256.69344175,0.0,0.0,0.0,340428985.9897771
2027-12-31,17889731.736331895,339716350.2226073,341386306.9263214,17693143.726210102,18060243.10824965,322677965.75784266,322677965.75784266,322677965.75784266,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,314356681.67201436,314356681.67201436,314356681.67201436,0.0,0.0,0.0,340567697.49417454
2028-12-31,18728309.458117917,341584303.50535756,343342118.5064158,18430002.729726173,18996900.84227038,323726663.0875669,323726663.0875669,323726663.0875669,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315405379.0017386,315405379.0017386,315405379.0017386,0.0,0.0,0.0,342454972.5456848
2029-12-31,19564595.983942773,342354958.4888241,344180689.57381016,19134339.068154708,19946356.33889589,323731338.70411295,323731338.70411295,323731338.70411295,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315410054.61828464,315410054.61828464,315410054.61828464,0.0,0.0,0.0,343295934.6880557
2030-12-31,20400882.50976763,342734319.9727052,344745818.09788334,19840228.266361646,20922346.534314208,323375540.77908456,323375540.77908456,323375540.77908456,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315054256.6932563,315054256.6932563,315054256.6932563,0.0,0.0,0.0,343776423.2888522
2031-12-31,21237169.03559249,342808895.1912693,345017380.2983077,20524547.27718782,21912763.278459296,322677965.7576513,322677965.7576513,322677965.7576513,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,314356681.671823,314356681.671823,314356681.671823,0.0,0.0,0.0,343915134.7932438
2032-12-31,22075746.757378507,344682944.40227437,347004149.91446596,21212132.572868027,22906125.372785773,323726663.08743656,323726663.08743656,323726663.08743656,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315405379.00160825,315405379.00160825,315405379.00160825,0.0,0.0,0.0,345802409.8448151
2033-12-31,22912033.283203367,345387805.1283821,347924374.1555899,21897721.840248805,23926304.009962697,323731338.70417714,323731338.70417714,323731338.70417714,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315410054.6183489,315410054.6183489,315410054.6183489,0.0,0.0,0.0,346643371.9873805
2034-12-31,23748319.809028223,345696465.0157615,348529752.0421147,22543060.524784207,24917367.053319804,323375540.779244,323375540.779244,323375540.779244,8321284.085828272,8321284.085828272,8321284.085828272,6875456.092544165,6875456.092544165,6875456.092544165,1445827.9932841067,1445827.9932841067,1445827.9932841067,315054256.6934157,315054256.6934157,315054256.6934157,0.0,0.0,0.0,347123860.5882722
